pcr_id,voucher_number,pcr_success,note,ignore_for_plating
20150917-pcr-1,FLPK-0002,0,Amplified but evaporated,0
20150917-pcr-1,FLPK-0003,1,,0
20150917-pcr-1,FLPK-0001,1,,0
20150917-pcr-1,FLPK-0004,0,wrong size,0
20150917-pcr-1,FLPK-0005,0,very faint,0
20150917-pcr-1,FLPK-0008,1,,0
20150917-pcr-1,FLPK-0007,1,,0
20150922-pcr-1,FLPK-0009,1,,0
20150922-pcr-1,FLPK-0010,1,,0
20150922-pcr-1,FLPK-0011,1,,0
20150922-pcr-1,FLPK-0012,1,faint,0
20150922-pcr-1,FLPK-0013,1,,0
20150922-pcr-1,FLPK-0014,1,,0
20150922-pcr-1,FLPK-0015,1,faint,0
20150922-pcr-1,FLPK-0016,1,,0
20150922-pcr-1,FLPK-0017,1,,0
20150922-pcr-1,FLPK-0018,1,,0
20150922-pcr-1,FLPK-0019,1,,0
20150922-pcr-1,FLPK-0020,1,,0
20150922-pcr-1,FLPK-0021,1,,0
20150922-pcr-1,FLPK-0022,1,,0
20150922-pcr-1,FLPK-0023,0,,0
20150922-pcr-1,FLPK-0024,1,,0
20150922-pcr-1,FLPK-0025,1,,0
20150922-pcr-1,FLPK-0026,1,,0
20150922-pcr-1,FLPK-0027,1,,0
20150922-pcr-1,FLPK-0028,1,,0
20150924-pcr-1,FLPK-0029,1,,0
20150924-pcr-1,FLPK-0030,1,,0
20150924-pcr-1,FLPK-0031,1,,0
20150924-pcr-1,FLPK-0032,0,,0
20150924-pcr-1,FLPK-0033,1,,0
20150924-pcr-1,FLPK-0034,1,,0
20150924-pcr-1,FLPK-0035,0,,0
20150924-pcr-1,FLPK-0036,1,,0
20150924-pcr-1,FLPK-0037,1,,0
20150924-pcr-1,FLPK-0038,1,,0
20150924-pcr-1,FLPK-0039,1,,0
20150924-pcr-1,FLPK-0040,1,,0
20150924-pcr-1,FLPK-0041,1,,0
20150924-pcr-1,FLPK-0042,1,,0
20150924-pcr-1,FLPK-0043,1,,0
20150924-pcr-1,FLPK-0044,1,,0
20150924-pcr-1,FLPK-0045,1,,0
20150924-pcr-1,FLPK-0046,1,,0
20150924-pcr-1,FLPK-0047,1,,0
20150924-pcr-1,FLPK-0048,1,,0
20150924-pcr-1,FLPK-0049,1,,0
20150924-pcr-1,FLPK-0050,1,,0
20150924-pcr-1,FLPK-0051,1,,0
20150924-pcr-1,FLPK-0052,0,,0
20150924-pcr-1,FLPK-0053,1,,0
20150924-pcr-1,FLPK-0054,1,,0
20150924-pcr-1,FLPK-0055,1,,0
20150924-pcr-1,FLPK-0056,1,,0
20150924-pcr-1,FLPK-0057,1,,0
20150924-pcr-1,FLPK-0058,1,,0
20150924-pcr-1,FLPK-0059,0,,0
20150924-pcr-1,FLPK-0060,0,,0
20150924-pcr-1,FLPK-0061,1,,0
20150924-pcr-1,FLPK-0062,1,,0
20150924-pcr-1,FLPK-0063,1,faint,0
20150924-pcr-1,FLPK-0064,0,,0
20150924-pcr-1,FLPK-0065,1,,0
20150924-pcr-1,FLPK-0066,1,,0
20150924-pcr-1,FLPK-0067,1,,0
20150924-pcr-1,FLPK-0068,1,,0
20150924-pcr-1,FLPK-0069,1,,0
20150924-pcr-1,FLPK-0070,1,,0
20150924-pcr-1,FLPK-0071,1,,0
20150924-pcr-1,FLPK-0072,1,,0
20150924-pcr-1,FLPK-0073,1,,0
20150924-pcr-1,FLPK-0074,1,,0
20150924-pcr-1,FLPK-0075,1,,0
20150924-pcr-1,FLPK-0077,1,,0
20150924-pcr-1,FLPK-0078,1,,0
20150924-pcr-1,FLPK-0079,1,,0
20150924-pcr-1,FLPK-0080,1,,0
20150924-pcr-1,FLPK-0081,1,,0
20150924-pcr-1,FLPK-0082,0,,0
20150924-pcr-1,FLPK-0083,1,,0
20150924-pcr-1,FLPK-0084,1,,0
20150929-pcr-1,FLPK-0085,1,,0
20150929-pcr-1,FLPK-0086,1,,0
20150929-pcr-1,FLPK-0087,1,,0
20150929-pcr-1,FLPK-0088,1,,0
20150929-pcr-1,FLPK-0089,1,,0
20150929-pcr-1,FLPK-0090,1,,0
20150929-pcr-1,FLPK-0091,1,,0
20150929-pcr-1,FLPK-0092,1,,0
20150929-pcr-1,FLPK-0093,1,,0
20150929-pcr-1,FLPK-0094,0,,0
20150929-pcr-1,FLPK-0095,1,,0
20150929-pcr-1,FLPK-0097,1,,0
20150929-pcr-1,FLPK-0098,1,,0
20150929-pcr-1,FLPK-0099,0,,0
20150929-pcr-1,FLPK-0100,0,,0
20150929-pcr-1,FLPK-0101,1,,0
20150929-pcr-1,FLPK-0102,1,,0
20150929-pcr-1,FLPK-0103,1,,0
20150929-pcr-1,FLPK-0104,0,,0
20150929-pcr-1,FLPK-0105,1,,0
20150929-pcr-1,FLPK-0106,1,,0
20150929-pcr-1,FLPK-0107,1,,0
20150929-pcr-1,FLPK-0108,1,,0
20150929-pcr-1,FLPK-0109,0,,0
20150929-pcr-1,FLPK-0110,1,,0
20150929-pcr-1,FLPK-0111,0,,0
20150929-pcr-1,FLPK-0112,1,,0
20150929-pcr-1,FLPK-0113,1,,0
20150929-pcr-1,FLPK-0115,1,,0
20150929-pcr-1,FLPK-0116,0,,0
20150929-pcr-1,FLPK-0117,1,,0
20150929-pcr-1,FLPK-0118,1,,0
20150929-pcr-1,FLPK-0119,0,,0
20150929-pcr-1,FLPK-0120,0,,0
20150929-pcr-1,FLPK-0121,1,,0
20150929-pcr-1,FLPK-0122,1,,0
20150929-pcr-1,FLPK-0123,1,,0
20150929-pcr-1,FLPK-0124,1,,0
20150929-pcr-1,FLPK-0125,1,,0
20151103-pcr-1,FLPK-0131,0,,0
20151103-pcr-1,FLPK-0132,1,,0
20151103-pcr-1,FLPK-0133,0,wrong size,0
20151103-pcr-1,FLPK-0134,0,wrong size,0
20151103-pcr-1,FLPK-0135,0,wrong size,0
20151103-pcr-1,FLPK-0136,0,very faint,0
20151103-pcr-1,FLPK-0137,1,,0
20151103-pcr-1,FLPK-0138,1,,0
20151103-pcr-1,FLPK-0139,0,blank,0
20151103-pcr-1,FLPK-0140,0,blank,0
20151103-pcr-1,FLPK-0141,1,,0
20151103-pcr-1,FLPK-0142,0,blank,0
20151103-pcr-1,FLPK-0143,0,wrong size,0
20151103-pcr-1,FLPK-0144,1,,0
20151103-pcr-1,FLPK-0145,1,,0
20151103-pcr-1,FLPK-0146,0,wrong size,0
20151103-pcr-1,FLPK-0147,0,very faint,0
20151103-pcr-1,FLPK-0148,0,wrong size,0
20151103-pcr-1,FLPK-0149,1,,0
20151103-pcr-1,FLPK-0150,1,,0
20151103-pcr-1,FLPK-0151,1,,0
20151103-pcr-1,FLPK-0152,0,very faint/wrong size,0
20151103-pcr-1,FLPK-0153,0,very faint/wrong size,0
20151103-pcr-1,FLPK-0154,0,,0
20151103-pcr-1,FLPK-0155,1,,0
20151103-pcr-1,FLPK-0156,1,,0
20151103-pcr-1,FLPK-0157,0,wrong size,0
20151103-pcr-1,FLPK-0158,1,,0
20151103-pcr-1,FLPK-0159,1,,0
20151103-pcr-1,FLPK-0160,0,double/wrong size,0
20151103-pcr-1,FLPK-0161,1,,0
20151103-pcr-1,FLPK-0162,0,,0
20151103-pcr-1,FLPK-0163,0,,0
20151103-pcr-1,FLPK-0164,1,,0
20151103-pcr-1,FLPK-0165,0,,0
20151103-pcr-1,FLPK-0166,1,,0
20151103-pcr-1,FLPK-0167,1,,0
20151103-pcr-1,FLPK-0168,0,wrong size,0
20151103-pcr-1,FLPK-0169,0,wrong size,0
20151103-pcr-1,FLPK-0170,1,,0
20151103-pcr-1,FLPK-0171,0,wrong size,0
20151103-pcr-1,FLPK-0172,0,wrong size,0
20151103-pcr-1,FLPK-0173,1,,0
20151103-pcr-1,FLPK-0174,0,blank,0
20151103-pcr-1,FLPK-0175,0,blank,0
20151103-pcr-1,FLPK-0176,0,wrong size,0
20151103-pcr-1,FLPK-0177,0,wrong size,0
20151103-pcr-1,FLPK-0178,0,wrong size,0
20151103-pcr-1,FLPK-0179,0,blank,0
20151103-pcr-1,FLPK-0180,1,,0
20151103-pcr-1,FLPK-0181,1,,0
20151103-pcr-1,FLPK-0182,1,,0
20151103-pcr-1,FLPK-0183,0,wrong size,0
20151103-pcr-1,FLPK-0184,0,wrong size,0
20151103-pcr-1,FLPK-0185,0,wrong size,0
20151103-pcr-1,FLPK-0186,1,,0
20151103-pcr-1,FLPK-0187,0,wrong size,0
20151103-pcr-1,FLPK-0188,0,wrong size,0
20151103-pcr-1,FLPK-0189,0,blank,0
20151103-pcr-1,FLPK-0190,1,,0
20151103-pcr-1,FLPK-0191,0,blank,0
20151103-pcr-1,FLPK-0192,1,,0
20151103-pcr-1,FLPK-0193,0,wrong size,0
20151103-pcr-1,FLPK-0194,0,blank,0
20151103-pcr-1,FLPK-0195,0,wrong size,0
20151103-pcr-1,FLPK-0196,0,wrong size,0
20151103-pcr-1,FLPK-0197,1,,0
20151103-pcr-1,FLPK-0198,0,wrong size,0
20151103-pcr-1,FLPK-0199,0,wrong size,0
20151103-pcr-1,FLPK-0200,0,blank,0
20151103-pcr-1,FLPK-0201,0,wrong size,0
20151103-pcr-1,FLPK-0202,0,wrong size,0
20151103-pcr-1,FLPK-0203,1,,0
20151103-pcr-1,FLPK-0204,1,,0
20151103-pcr-1,FLPK-0205,0,blank,0
20151103-pcr-1,FLPK-0206,0,wrong size,0
20151103-pcr-1,FLPK-0207,0,blank,0
20151103-pcr-1,FLPK-0208,1,,0
20151103-pcr-1,FLPK-0209,1,,0
20151103-pcr-1,FLPK-0210,1,,0
20151103-pcr-1,FLPK-0211,1,,0
20151103-pcr-1,FLPK-0212,1,,0
20151103-pcr-1,FLPK-0213,0,wrong size,0
20151103-pcr-1,FLPK-0214,1,,0
20151103-pcr-1,FLPK-0215,1,,0
20151103-pcr-1,FLPK-0216,1,,0
20151103-pcr-1,FLPK-0217,1,,0
20151103-pcr-1,FLPK-0218,0,wrong size,0
20151103-pcr-1,FLPK-0219,1,,0
20151103-pcr-1,FLPK-0220,0,blank,0
20151103-pcr-1,FLPK-0221,1,,0
20151103-pcr-1,FLPK-0126,0,blank,0
20151103-pcr-1,FLPK-0127,0,blank,0
20151103-pcr-1,FLPK-0128,0,blank,0
20151103-pcr-1,FLPK-0129,0,blank,0
20151103-pcr-1,FLPK-0130,0,blank,0
20151104-pcr-1,FLPK-0131,1,,0
20151104-pcr-1,FLPK-0133,0,wrong size,0
20151104-pcr-1,FLPK-0134,1,,0
20151104-pcr-1,FLPK-0135,1,,0
20151104-pcr-1,FLPK-0136,0,wrong size,0
20151104-pcr-1,FLPK-0139,1,,0
20151104-pcr-1,FLPK-0140,1,,0
20151104-pcr-1,FLPK-0142,0,blank,0
20151104-pcr-2,FLPK-0131,1,,1
20151104-pcr-2,FLPK-0133,0,wrong size,1
20151104-pcr-2,FLPK-0134,1,,1
20151104-pcr-2,FLPK-0135,0,wrong size,1
20151104-pcr-2,FLPK-0136,0,wrong size,1
20151104-pcr-2,FLPK-0139,1,,1
20151104-pcr-2,FLPK-0140,1,,1
20151104-pcr-2,FLPK-0142,0,blank,1
20151105-pcr-1,FLPK-0136,1,,0
20151105-pcr-1,FLPK-0142,0,blank,0
20151105-pcr-1,FLPK-0143,1,,0
20151105-pcr-1,FLPK-0146,1,,0
20151105-pcr-1,FLPK-0147,0,faint/wrong size,0
20151105-pcr-1,FLPK-0148,1,,0
20151105-pcr-1,FLPK-0152,1,,0
20151105-pcr-1,FLPK-0153,0,faint/wrong size,0
20151105-pcr-1,FLPK-0154,0,blank,0
20151105-pcr-1,FLPK-0157,1,,0
20151105-pcr-1,FLPK-0160,1,,0
20151105-pcr-1,FLPK-0162,0,blank,0
20151105-pcr-1,FLPK-0163,0,blank,0
20151105-pcr-1,FLPK-0165,0,blank,0
20151105-pcr-1,FLPK-0168,1,,0
20151105-pcr-1,FLPK-0169,1,,0
20151105-pcr-1,FLPK-0171,0,blank,0
20151105-pcr-1,FLPK-0172,1,,0
20151105-pcr-1,FLPK-0174,0,blank,0
20151105-pcr-1,FLPK-0175,0,blank,0
20151105-pcr-1,FLPK-0176,0,faint/wrong size,0
20151105-pcr-1,FLPK-0177,1,,0
20151105-pcr-1,FLPK-0178,1,,0
20151105-pcr-1,FLPK-0179,1,,0
20151105-pcr-1,FLPK-0183,1,,0
20151105-pcr-1,FLPK-0184,1,,0
20151105-pcr-1,FLPK-0185,1,,0
20151105-pcr-1,FLPK-0187,1,,0
20151105-pcr-1,FLPK-0188,1,,0
20151105-pcr-1,FLPK-0189,0,blank,0
20151105-pcr-1,FLPK-0191,1,,0
20151105-pcr-1,FLPK-0193,1,,0
20151105-pcr-1,FLPK-0194,0,blank,0
20151105-pcr-1,FLPK-0195,1,,0
20151105-pcr-1,FLPK-0196,1,,0
20151105-pcr-1,FLPK-0198,1,,0
20151105-pcr-1,FLPK-0199,1,,0
20151105-pcr-1,FLPK-0200,0,blank,0
20151105-pcr-1,FLPK-0201,1,,0
20151105-pcr-1,FLPK-0202,1,,0
20151105-pcr-1,FLPK-0220,1,,0
20151110-pcr-1,FMMC-001,1,,1
20151110-pcr-1,FMMC-002,1,,1
20151110-pcr-1,FMMC-004,1,,1
20151110-pcr-1,FMMC-006,1,,1
20151111-pcr-1,FLPK-0222,1,faint,0
20151111-pcr-1,FLPK-0223,1,,0
20151111-pcr-1,FLPK-0224,1,,0
20151111-pcr-1,FLPK-0225,1,,0
20151111-pcr-1,FLPK-0226,0,very faint,0
20151111-pcr-1,FLPK-0227,1,,0
20151111-pcr-1,FLPK-0228,1,,0
20151111-pcr-1,FLPK-0229,0,,0
20151111-pcr-1,FLPK-0230,1,,0
20151111-pcr-1,FLPK-0231,1,,0
20151111-pcr-1,FLPK-0232,0,,0
20151111-pcr-1,FLPK-0233,1,,0
20151111-pcr-1,FLPK-0243,1,,0
20151111-pcr-1,FLPK-0244,1,,0
20151111-pcr-1,FLPK-0245,1,,0
20151111-pcr-1,FLPK-0234,1,,0
20151111-pcr-1,FLPK-0235,1,,0
20151111-pcr-1,FLPK-0236,1,,0
20151111-pcr-1,FLPK-0237,1,,0
20151111-pcr-1,FLPK-0238,1,,0
20151111-pcr-1,FLPK-0239,1,,0
20151111-pcr-1,FLPK-0240,1,,0
20151111-pcr-1,FLPK-0241,1,,0
20151111-pcr-1,FLPK-0242,0,blank,0
20151111-pcr-1,FLPK-0246,1,,0
20151111-pcr-1,FLPK-0247,0,wrong size,0
20151111-pcr-1,FLPK-0248,1,,0
20151111-pcr-1,FLPK-0249,1,,0
20151111-pcr-1,FLPK-0250,0,blank,0
20151111-pcr-1,FLPK-0251,1,,0
20151111-pcr-1,FLPK-0252,1,,0
20151111-pcr-1,FLPK-0205,1,,0
20151111-pcr-1,FLPK-0206,1,,0
20151111-pcr-1,FLPK-0207,1,wrong size?,0
20151111-pcr-1,FLPK-0213,1,,0
20151111-pcr-1,FLPK-0218,1,,0
20151206-pcr-1,FLPK-0253,0,blank,0
20151206-pcr-1,FLPK-0254,1,,0
20151206-pcr-1,FLPK-0255,0,wrong size,0
20151206-pcr-1,FLPK-0256,0,blank,0
20151206-pcr-1,FLPK-0257,1,,0
20151206-pcr-1,FLPK-0258,1,,0
20151206-pcr-1,FLPK-0259,1,,0
20151206-pcr-1,FLPK-0260,1,,0
20151206-pcr-1,FLPK-0261,1,,0
20151206-pcr-1,FLPK-0262,1,,0
20151206-pcr-1,FLPK-0263,1,,0
20151206-pcr-1,FLPK-0264,1,,0
20151206-pcr-1,FLPK-0265,1,,0
20151206-pcr-1,FLPK-0266,1,,0
20151206-pcr-1,FLPK-0267,0,blank,0
20151206-pcr-1,FLPK-0268,1,,0
20151206-pcr-1,FLPK-0269,1,,0
20151206-pcr-1,FLPK-0270,1,,0
20151206-pcr-1,FLPK-0271,0,blank,0
20151206-pcr-1,FLPK-0272,1,,0
20151206-pcr-1,FLPK-0273,1,,0
20151206-pcr-1,FLPK-0274,0,blank,0
20151206-pcr-1,FLPK-0275,1,,0
20151206-pcr-1,FLPK-0276,0,blank,0
20151206-pcr-1,FLPK-0277,0,blank,0
20151206-pcr-1,FLPK-0278,1,,0
20151206-pcr-1,FLPK-0279,1,,0
20151206-pcr-1,FLPK-0280,1,,0
20151206-pcr-1,FLPK-0281,1,,0
20151206-pcr-1,FLPK-0282,0,blank,0
20151206-pcr-1,FLPK-0283,0,blank,0
20151206-pcr-1,FLPK-0284,0,blank,0
20151206-pcr-1,FLPK-0285,1,,0
20151206-pcr-1,FLPK-0286,0,blank,0
20151206-pcr-1,FLPK-0287,0,blank,0
20151206-pcr-1,FLPK-0288,0,blank,0
20151206-pcr-1,FLPK-0289,1,,0
20151206-pcr-1,FLPK-0290,0,blank,0
20151206-pcr-1,FLPK-0291,0,blank,0
20151206-pcr-1,FLPK-0292,1,,0
20151206-pcr-1,FLPK-0293,0,blank,0
20151206-pcr-1,FLPK-0294,0,blank,0
20151206-pcr-1,FLPK-0295,0,blank,0
20151206-pcr-1,FLPK-0296,0,blank,0
20151206-pcr-1,FLPK-0297,1,,0
20151206-pcr-1,FLPK-0298,1,,0
20151206-pcr-1,FLPK-0299,1,,0
20151206-pcr-1,FLPK-0300,1,,0
20151206-pcr-1,FLPK-0301,0,blank,0
20151206-pcr-1,FLPK-0302,0,blank,0
20151206-pcr-1,FLPK-0303,0,blank,0
20151206-pcr-1,FLPK-0304,1,,0
20151206-pcr-1,FLPK-0306,0,blank,0
20151206-pcr-1,FLPK-0307,0,blank,0
20151206-pcr-1,FLPK-0308,0,blank,0
20151206-pcr-1,FLPK-0309,1,,0
20151206-pcr-1,FLPK-0310,0,blank,0
20151206-pcr-1,FLPK-0311,0,blank,0
20151206-pcr-1,FLPK-0312,1,,0
20151206-pcr-1,FLPK-0313,1,,0
20151206-pcr-1,FLPK-0314,1,,0
20151206-pcr-1,FLPK-0315,1,,0
20151206-pcr-1,FLPK-0318,0,blank,0
20151206-pcr-1,FLPK-0319,1,,0
20151206-pcr-1,FLPK-0320,0,blank,0
20151206-pcr-1,FLPK-0321,1,,0
20151206-pcr-1,FLPK-0322,1,,0
20151206-pcr-1,FLPK-0323,1,,0
20151206-pcr-1,FLPK-0324,0,blank,0
20151206-pcr-1,FLPK-0325,0,blank,0
20151206-pcr-1,FLPK-0326,0,blank,0
20151206-pcr-1,FLPK-0327,0,blank,0
20151206-pcr-1,FLPK-0328,0,blank,0
20151206-pcr-1,FLPK-0329,1,,0
20151206-pcr-1,FLPK-0330,0,blank,0
20151206-pcr-1,FLPK-0331,0,blank,0
20151206-pcr-1,FLPK-0332,1,,0
20151206-pcr-1,FLPK-0333,0,blank,0
20151206-pcr-1,FLPK-0334,1,,0
20151206-pcr-1,FLPK-0335,1,,0
20151206-pcr-1,FLPK-0336,1,,0
20151206-pcr-1,FLPK-0339,0,blank,0
20151206-pcr-1,FLPK-0340,1,,0
20151206-pcr-1,FLPK-0341,1,,0
20151206-pcr-1,FLPK-0342,0,blank,0
20151206-pcr-1,FLPK-0343,1,,0
20151206-pcr-1,FLPK-0344,0,blank,0
20151206-pcr-1,FLPK-0345,1,,0
20151206-pcr-1,FLPK-0346,1,,0
20151206-pcr-1,FLPK-0347,1,,0
20151215-pcr-1,FLPK-0253,1,,0
20151215-pcr-1,FLPK-0255,1,,0
20151215-pcr-1,FLPK-0256,0,blank,0
20151215-pcr-1,FLPK-0267,1,,0
20151215-pcr-1,FLPK-0271,1,,0
20151215-pcr-1,FLPK-0274,0,blank,0
20151215-pcr-1,FLPK-0276,1,,0
20151215-pcr-1,FLPK-0277,1,,0
20151215-pcr-1,FLPK-0286,1,missing pcr product...,0
20151215-pcr-1,FLPK-0287,0,blank,0
20151215-pcr-1,FLPK-0288,0,blank,0
20151215-pcr-1,FLPK-0290,0,blank,0
20151215-pcr-1,FLPK-0291,0,blank,0
20151215-pcr-1,FLPK-0293,1,,0
20151215-pcr-1,FLPK-0294,0,blank,0
20151215-pcr-1,FLPK-0295,1,,0
20151215-pcr-1,FLPK-0296,0,blank,0
20151215-pcr-1,FLPK-0301,0,blank,0
20151215-pcr-1,FLPK-0302,0,blank,0
20151215-pcr-1,FLPK-0303,1,,0
20151215-pcr-1,FLPK-0306,0,blank,0
20151215-pcr-1,FLPK-0307,0,blank,0
20151215-pcr-1,FLPK-0308,0,blank,0
20151215-pcr-1,FLPK-0310,0,blank,0
20151215-pcr-1,FLPK-0311,1,,0
20151215-pcr-1,FLPK-0318,0,blank,0
20151215-pcr-1,FLPK-0320,0,blank,0
20151215-pcr-1,FLPK-0324,0,very faint,0
20151215-pcr-1,FLPK-0325,0,blank,0
20151215-pcr-1,FLPK-0326,0,very faint,0
20151215-pcr-1,FLPK-0327,1,,0
20151215-pcr-1,FLPK-0328,0,blank,0
20151215-pcr-1,FLPK-0330,1,,0
20151215-pcr-1,FLPK-0331,1,,0
20151215-pcr-1,FLPK-0333,1,,0
20151215-pcr-1,FLPK-0339,0,blank,0
20151215-pcr-1,FLPK-0342,1,,0
20151215-pcr-1,FLPK-0344,1,,0
20151216-pcr-1,FLPK-0256,0,blank,0
20151216-pcr-1,FLPK-0274,0,blank,0
20151216-pcr-1,FLPK-0287,0,blank,0
20151216-pcr-1,FLPK-0288,0,blank,0
20151216-pcr-1,FLPK-0290,0,blank,0
20151216-pcr-1,FLPK-0291,0,blank,0
20151216-pcr-1,FLPK-0294,0,blank,0
20151216-pcr-1,FLPK-0296,0,blank,0
20151216-pcr-1,FLPK-0301,0,blank,0
20151216-pcr-1,FLPK-0302,0,blank,0
20151216-pcr-1,FLPK-0306,0,blank,0
20151216-pcr-1,FLPK-0307,0,blank,0
20151216-pcr-1,FLPK-0308,0,blank,0
20151216-pcr-1,FLPK-0310,0,blank,0
20151216-pcr-1,FLPK-0318,0,blank,0
20151216-pcr-1,FLPK-0320,0,blank,0
20151216-pcr-1,FLPK-0324,0,blank,0
20151216-pcr-1,FLPK-0325,0,blank,0
20151216-pcr-1,FLPK-0326,0,blank,0
20151216-pcr-1,FLPK-0328,0,blank,0
20151216-pcr-1,FLPK-0339,0,blank,0
20160111-pcr-1,FLPK-0349,1,,0
20160111-pcr-1,FLPK-0351,0,blank,0
20160111-pcr-1,FLPK-0352,1,,0
20160111-pcr-1,FLPK-0353,0,blank,0
20160111-pcr-1,FLPK-0354,0,blank,0
20160111-pcr-1,FLPK-0355,1,,0
20160111-pcr-1,FLPK-0356,1,,0
20160111-pcr-1,FLPK-0357,1,,0
20160111-pcr-1,FLPK-0358,1,,0
20160111-pcr-1,FLPK-0359,0,blank,0
20160111-pcr-1,FLPK-0360,0,blank,0
20160111-pcr-1,FLPK-0361,0,blank,0
20160111-pcr-1,FLPK-0362,0,blank,0
20160111-pcr-1,FLPK-0363,1,,0
20160111-pcr-1,FLPK-0364,0,blank,0
20160111-pcr-1,FLPK-0365,0,blank,0
20160111-pcr-1,FLPK-0366,0,blank,0
20160111-pcr-1,FLPK-0367,0,blank,0
20160111-pcr-1,FLPK-0368,1,,0
20160111-pcr-1,FLPK-0369,0,blank,0
20160111-pcr-1,FLPK-0370,0,blank,0
20160111-pcr-1,FL-AB-001,0,blank,0
20160111-pcr-1,FL-AB-002,1,,0
